PBI,Excel,Lookup,Comments,Lookup
40152188,29260347,29260347,,40152188
40152276,29724061,29724061,,40152276
40152322,40151316,40151316,,40152322
40152337,40151317,40151317,,40152337
40152375,29497776,29497776,,40152375
40152378,40152043,40152043,,40152378
40152407,40152682,40152682,,40152407
40152408,29956609,29956609,,40152408
40152419,29529818,29529818,,40152419
40152462,40152053,40152053,,40152462
40152482,40152641,40152641,,40152482
40152506,29417877,29417877,,40152506
40152524,40152524,40152524,,40152524
40152559,29241209,29241209,,40152559
40152576,29263255,29263255,,40152576
40152580,29420764,29420764,,40152580
40152582,29254382,29254382,,40152582
40152587,29262401,29262401,,40152587
40152588,29834228,29834228,,40152588
40152590,40106798,40106798,,#N/A
40152607,29447147,29447147,,40152607
40152609,29269859,29269859,,40152609
40152610,29256091,29256091,,#N/A
40152618,29529507,29529507,,40152618
40152633,40022465,40022465,,40152633
40152642,40096299,40096299,,40152642
40152648,29617831,29617831,,40152648
40152667,29214397,29214397,,40152667
40152672,40143489,40143489,,#N/A
40152673,29366660,29366660,,#N/A
40152676,29266056,29266056,,40152676
40152682,29620055,#N/A,POC not present in Sellfi,40152682
40152696,29290539,29290539,,40152696
40152697,40075743,40075743,,#N/A
40152708,29319502,29319502,,40152708
40152713,40026582,40026582,,40152713
40152715,29232720,29232720,,40152715
40152716,29148231,#N/A,Won Date Mismatch,40152716
40152757,29456904,29456904,,40152757
40152990,29748945,29748945,,40152990
40152991,29147861,29147861,,40152991
40152998,29157447,29157447,,40152998
40153000,29327326,29327326,,#N/A
40153005,29752370,29752370,,40153005
40153010,29799180,29799180,,40153010
40153014,40020706,40020706,,40153014
40153015,40153018,40153018,,40153015
40153018,40153830,40153830,,40153018
40153036,40153225,40153225,,40153036
40153037,29238978,29238978,,40153037
40153038,29329582,29329582,,40153038
40153041,29330071,29330071,,40153041
40153056,40124500,40124500,,40153056
40153057,40132574,40132574,,40153057
40153058,40152408,40152408,,40153058
40153059,40152990,40152990,,40153059
40153064,40152991,40152991,,40153064
40153119,40153119,40153119,,40153119
40153154,29197296,29197296,,40153154
40153220,29650584,29650584,,#N/A
40153221,40151063,#N/A,POC not present in Comm BI,#N/A
40153222,40151532,40151532,,40153222
40153223,40153349,40153349,,40153223
40153225,40153336,40153336,,40153225
40153229,40153642,40153642,,40153229
40153303,40153882,40153882,,40153303
40153304,40151926,40151926,,40153304
40153305,40151995,40151995,,40153305
40153306,40152077,40152077,,40153306
40153307,40152278,40152278,,40153307
40153330,40153014,40153014,,40153330
40153332,40153064,40153064,,#N/A
40153334,40153909,40153909,,40153334
40153335,40152036,40152036,,40153335
40153336,29185331,29185331,,40153336
40153338,29791801,29791801,,40153338
40153346,40121442,40121442,,40153346
40153348,40142630,40142630,,40153348
40153349,40152506,40152506,,40153349
40153350,40153334,40153334,,40153350
40153397,40153744,40153744,,40153397
40153398,40149769,40149769,,40153398
40153401,40153335,40153335,,40153401
40153411,29256858,29256858,,40153411
